title,table_number,cell_number,level,total,white,black,aian,asian,nhopi,sor,two,hispanic,sex,start_age,end_age,median_age
Total,P1,P0010001,block,total,missing,missing,missing,missing,missing,missing,missing,missing,missing,0,110,missing
Hispanic or Latino,P11,P0110002,block,missing,missing,missing,missing,missing,missing,missing,missing,Y,missing,18,110,missing
White alone,P11,P0110005,block,missing,Y,N,N,N,N,N,missing,N,missing,18,110,missing
Black or African American alone,P11,P0110006,block,missing,N,Y,N,N,N,N,missing,N,missing,18,110,missing
American Indian and Alaska Native alone,P11,P0110007,block,missing,N,N,Y,N,N,N,missing,N,missing,18,110,missing
Asian alone,P11,P0110008,block,missing,N,N,N,Y,N,N,missing,N,missing,18,110,missing
Native Hawaiian and Other Pacific Islander alone,P11,P0110009,block,missing,N,N,N,N,Y,N,missing,N,missing,18,110,missing
Some Other Race alone,P11,P0110010,block,missing,N,N,N,N,N,Y,missing,N,missing,18,110,missing
White alone or in combination with one or more other races,P6,P0060002,block,missing,Y,missing,missing,missing,missing,missing,missing,missing,missing,0,110,missing
Black or African American alone or in combination with one or more other races,P6,P0060003,block,missing,missing,Y,missing,missing,missing,missing,missing,missing,missing,0,110,missing
American Indian and Alaska Native alone or in combination with one or more other races,P6,P0060004,block,missing,missing,missing,Y,missing,missing,missing,missing,missing,missing,0,110,missing
Asian alone or in combination with one or more other races,P6,P0060005,block,missing,missing,missing,missing,Y,missing,missing,missing,missing,missing,0,110,missing
Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,P6,P0060006,block,missing,missing,missing,missing,missing,Y,missing,missing,missing,missing,0,110,missing
Some Other Race alone or in combination with one or more other races,P6,P0060007,block,missing,missing,missing,missing,missing,missing,Y,missing,missing,missing,0,110,missing
White alone or in combination with one or more other races,P7,P0070003,block,missing,Y,missing,missing,missing,missing,missing,missing,N,missing,0,110,missing
Black or African American alone or in combination with one or more other races,P7,P0070004,block,missing,missing,Y,missing,missing,missing,missing,missing,N,missing,0,110,missing
American Indian and Alaska Native alone or in combination with one or more other races,P7,P0070005,block,missing,missing,missing,Y,missing,missing,missing,missing,N,missing,0,110,missing
Asian alone or in combination with one or more other races,P7,P0070006,block,missing,missing,missing,missing,Y,missing,missing,missing,N,missing,0,110,missing
Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,P7,P0070007,block,missing,missing,missing,missing,missing,Y,missing,missing,N,missing,0,110,missing
Some Other Race alone or in combination with one or more other races,P7,P0070008,block,missing,missing,missing,missing,missing,missing,Y,missing,N,missing,0,110,missing
White alone or in combination with one or more other races,P7,P0070010,block,missing,Y,missing,missing,missing,missing,missing,missing,Y,missing,0,110,missing
Black or African American alone or in combination with one or more other races,P7,P0070011,block,missing,missing,Y,missing,missing,missing,missing,missing,Y,missing,0,110,missing
American Indian and Alaska Native alone or in combination with one or more other races,P7,P0070012,block,missing,missing,missing,Y,missing,missing,missing,missing,Y,missing,0,110,missing
Asian alone or in combination with one or more other races,P7,P0070013,block,missing,missing,missing,missing,Y,missing,missing,missing,Y,missing,0,110,missing
Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,P7,P0070014,block,missing,missing,missing,missing,missing,Y,missing,missing,Y,missing,0,110,missing
Some Other Race alone or in combination with one or more other races,P7,P0070015,block,missing,missing,missing,missing,missing,missing,Y,missing,Y,missing,0,110,missing
White; Black or African American,P11,P0110013,block,missing,Y,Y,N,N,N,N,missing,N,missing,18,110,missing
White; American Indian and Alaska Native,P11,P0110014,block,missing,Y,N,Y,N,N,N,missing,N,missing,18,110,missing
White; Asian,P11,P0110015,block,missing,Y,N,N,Y,N,N,missing,N,missing,18,110,missing
White; Native Hawaiian and Other Pacific Islander,P11,P0110016,block,missing,Y,N,N,N,Y,N,missing,N,missing,18,110,missing
White; Some Other Race,P11,P0110017,block,missing,Y,N,N,N,N,Y,missing,N,missing,18,110,missing
Black or African American; American Indian and Alaska Native,P11,P0110018,block,missing,N,Y,Y,N,N,N,missing,N,missing,18,110,missing
Black or African American; Asian,P11,P0110019,block,missing,N,Y,N,Y,N,N,missing,N,missing,18,110,missing
Black or African American; Native Hawaiian and Other Pacific Islander,P11,P0110020,block,missing,N,Y,N,N,Y,N,missing,N,missing,18,110,missing
Black or African American; Some Other Race,P11,P0110021,block,missing,N,Y,N,N,N,Y,missing,N,missing,18,110,missing
American Indian and Alaska Native; Asian,P11,P0110022,block,missing,N,N,Y,Y,N,N,missing,N,missing,18,110,missing
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P11,P0110023,block,missing,N,N,Y,N,Y,N,missing,N,missing,18,110,missing
American Indian and Alaska Native; Some Other Race,P11,P0110024,block,missing,N,N,Y,N,N,Y,missing,N,missing,18,110,missing
Asian; Native Hawaiian and Other Pacific Islander,P11,P0110025,block,missing,N,N,N,Y,Y,N,missing,N,missing,18,110,missing
Asian; Some Other Race,P11,P0110026,block,missing,N,N,N,Y,N,Y,missing,N,missing,18,110,missing
Native Hawaiian and Other Pacific Islander; Some Other Race,P11,P0110027,block,missing,N,N,N,N,Y,Y,missing,N,missing,18,110,missing
White; Black or African American; American Indian and Alaska Native,P11,P0110029,block,missing,Y,Y,Y,N,N,N,missing,N,missing,18,110,missing
White; Black or African American; Asian,P11,P0110030,block,missing,Y,Y,N,Y,N,N,missing,N,missing,18,110,missing
White; Black or African American; Native Hawaiian and Other Pacific Islander,P11,P0110031,block,missing,Y,Y,N,N,Y,N,missing,N,missing,18,110,missing
White; Black or African American; Some Other Race,P11,P0110032,block,missing,Y,Y,N,N,N,Y,missing,N,missing,18,110,missing
